日期,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
7-27,"73,000","149,000","-76,000",0,0,0,0,0,0,"52,295",0,0,0,"659,643","607,348","52,295","-23,705"
7-28,"45,000","224,000","-179,000",0,0,0,0,0,0,"120,226",0,0,0,"740,430","620,204","120,226","-58,774"
7-31,"69,000","181,000","-112,000",0,0,0,0,0,0,"-566,933",0,0,0,"691,131","1,258,064","-566,933","-678,933"
8-1,"214,000","125,000","89,000",0,0,0,0,0,0,"-132,774",0,0,0,"572,484","705,258","-132,774","-43,774"
8-2,"24,030","665,000","-640,970",0,0,0,0,0,0,"-3,182,800",0,0,0,"743,000","3,925,800","-3,182,800","-3,823,770"
8-4,"155,000","42,000","113,000",0,0,0,0,0,0,"-1,850,838",0,0,0,"310,000","2,160,838","-1,850,838","-1,737,838"
8-7,"80,030","15,000","65,030",0,0,0,0,0,0,"-1,425,142",0,0,0,"457,001","1,882,143","-1,425,142","-1,360,112"
8-8,"153,030","253,000","-99,970",0,0,0,0,0,0,"-2,783,010",0,0,0,"437,000","3,220,010","-2,783,010","-2,882,980"
8-9,"101,360","140,000","-38,640",0,0,0,0,0,0,"-892,659",0,0,0,"774,000","1,666,659","-892,659","-931,299"
8-10,"228,823","120,000","108,823",0,0,0,0,0,0,"-2,622,566",0,0,0,"948,000","3,570,566","-2,622,566","-2,513,743"
8-11,"85,280","90,000","-4,720",0,0,0,0,0,0,"-1,503,771",0,0,0,"580,000","2,083,771","-1,503,771","-1,508,491"
8-14,"125,250","698,000","-572,750",0,0,0,0,0,0,"-4,410,132",0,"32,000","-32,000","596,000","4,974,132","-4,378,132","-4,982,882"
8-15,"213,529","151,000","62,529",0,0,0,0,0,0,"-3,213,429",0,0,0,"1,229,000","4,442,429","-3,213,429","-3,150,900"
8-16,"82,658","419,000","-336,342",0,0,0,0,0,0,"-1,982,213",0,0,0,"581,000","2,563,213","-1,982,213","-2,318,555"
8-17,"128,340","677,000","-548,660",0,0,0,0,0,0,"-931,586",0,0,0,"1,026,162","1,957,748","-931,586","-1,480,246"
8-18,"38,430","221,000","-182,570",0,0,0,0,0,0,"-956,568",0,0,0,"1,040,000","1,996,568","-956,568","-1,139,138"
8-21,"29,250","111,000","-81,750",0,0,0,0,0,0,"-449,294",0,0,0,"645,000","1,094,294","-449,294","-531,044"
8-22,"175,680","83,000","92,680",0,0,0,0,0,0,"-207,729",0,0,0,"426,310","634,039","-207,729","-115,049"
8-23,"124,089","128,000","-3,911",0,0,0,0,0,0,"-293,407",0,0,0,"836,000","1,129,407","-293,407","-297,318"
8-24,"348,148","52,000","296,148",0,0,0,0,0,0,"294,939",0,0,0,"1,432,372","1,137,433","294,939","591,087"
8-25,"48,120","177,000","-128,880",0,0,0,0,0,0,"-1,853,411",0,0,0,"566,000","2,419,411","-1,853,411","-1,982,291"
8-28,"62,030","139,000","-76,970",0,0,0,0,0,0,"-135,988",0,0,0,"667,000","802,988","-135,988","-212,958"
8-29,"8,000","200,000","-192,000",0,0,0,0,0,0,"-130,319",0,0,0,"866,000","996,319","-130,319","-322,319"
8-30,500,"31,000","-30,500",0,0,0,0,0,0,"4,897",0,0,0,"893,000","888,103","4,897","-25,603"
8-31,"99,000","31,000","68,000",0,0,0,0,0,0,"-1,397,612",0,0,0,"504,000","1,901,612","-1,397,612","-1,329,612"
9-1,"14,030","33,000","-18,970",0,0,0,0,0,0,"-380,464",0,0,0,"666,000","1,046,464","-380,464","-399,434"
9-4,"122,000","117,000","5,000",0,0,0,0,0,0,"127,731",0,0,0,"919,505","791,774","127,731","132,731"
9-5,"5,000","30,000","-25,000",0,0,0,0,0,0,"-544,880",0,0,0,"506,000","1,050,880","-544,880","-569,880"
9-6,"76,150","35,485","40,665",0,0,0,0,0,0,"-674,838",0,0,0,"574,000","1,248,838","-674,838","-634,173"
9-7,"142,057","75,000","67,057",0,0,0,0,0,0,"-583,216",0,0,0,"684,000","1,267,216","-583,216","-516,159"
9-8,"2,090","215,000","-212,910",0,0,0,0,0,0,"-915,723",0,0,0,"716,000","1,631,723","-915,723","-1,128,633"
9-11,"30,151","529,000","-498,849",0,0,0,0,0,0,"-1,236,645",0,0,0,"689,000","1,925,645","-1,236,645","-1,735,494"
9-12,"16,000","68,500","-52,500",0,0,0,0,0,0,"-91,755",0,0,0,"953,000","1,044,755","-91,755","-144,255"
9-13,"3,720","32,000","-28,280",0,0,0,0,0,0,"-391,688",0,0,0,"565,000","956,688","-391,688","-419,968"
9-14,"119,000","10,000","109,000",0,0,0,0,0,0,"581,861",0,0,0,"885,951","304,090","581,861","690,861"
9-15,"114,000","46,000","68,000",0,0,0,0,0,0,"28,167",0,0,0,"812,000","783,833","28,167","96,167"
